x_c y_c z_c m m_abs mu_pr mu_abs sigma_pr post_stdev post_res
-500000.000000 -500000.000000 60.562355 -16.4464 1026.5135 -15.9599 1027.0000 5.0000 2.4946 0.7511
-500000.000000 -500000.000000 239.204186 -118.4592 1023.9363 -115.3955 1027.0000 5.0000 2.4939 0.7512
-500000.000000 -500000.000000 536.880259 -161.2352 1022.7217 -156.9569 1027.0000 5.0000 2.4942 0.7512
-500000.000000 -500000.000000 953.590572 -232.7912 1020.7711 -226.5623 1027.0000 5.0000 2.4941 0.7512
-500000.000000 -500000.000000 1489.335126 -315.7145 1018.4837 -307.1982 1027.0000 5.0000 2.4940 0.7512
-500000.000000 -500000.000000 2144.113921 -410.1562 1015.8566 -399.0128 1027.0000 5.0000 2.4940 0.7512
-500000.000000 -500000.000000 2917.926957 -533.2878 1013.2049 -519.4927 1027.0000 5.0000 2.4941 0.7512
-500000.000000 -500000.000000 3810.774234 -744.0853 1007.4530 -724.5383 1027.0000 5.0000 2.4944 0.7511
-500000.000000 -500000.000000 4822.655752 356.3867 2904.8568 351.5299 2900.0000 20.0000 9.7310 0.7633
-500000.000000 -500000.000000 5953.571511 199.3387 2890.8513 208.4875 2900.0000 50.0000 22.7520 0.7929
-500000.000000 -500000.000000 7203.521511 142.3153 2894.4827 147.8326 2900.0000 100.0000 41.3301 0.8292
-500000.000000 -500000.000000 8572.505752 215.6531 3024.8944 215.8171 3025.0583 169.7136 63.2980 0.8609
-500000.000000 -500000.000000 10060.524234 188.3353 3090.7917 187.4587 3089.9151 186.3650 68.5409 0.8647
-500000.000000 -500000.000000 11667.576957 119.4486 3079.1735 125.4850 3085.2099 197.4960 71.9372 0.8673
-500000.000000 -500000.000000 13393.663921 55.2928 3062.6146 70.5696 3077.8914 209.2536 75.1707 0.8710
-500000.000000 -500000.000000 15238.785126 3.2909 3046.8775 28.8562 3072.4428 221.7395 78.2815 0.8754
-500000.000000 -500000.000000 17202.940572 -23.9199 3045.3565 9.4423 3078.7186 235.6102 81.4740 0.8804
-500000.000000 -500000.000000 19286.130259 -37.4611 3056.2400 10.8580 3104.5591 251.3387 84.7111 0.8864
-500000.000000 -500000.000000 21488.354186 -59.5839 3047.3311 16.4999 3123.4148 266.4630 87.4585 0.8923
-500000.000000 -500000.000000 23809.612355 -101.1059 3013.5271 8.7817 3123.4148 279.9293 90.0997 0.8964
-500000.000000 11782.884795 60.562355 -16.4464 1026.5535 -15.9999 1027.0000 5.0000 2.4946 0.7511
