x y z density stdev
235270.895736 290218.164005 0.000000 1629.2733 NaN
235270.895736 290218.164005 600.000000 1629.2733 NaN
235270.895736 290218.164005 1200.000000 1629.2733 NaN
235270.895736 290218.164005 1800.000000 1629.2733 NaN
235270.895736 290218.164005 2400.000000 1630.5655 NaN
235270.895736 290218.164005 3000.000000 1830.2216 NaN
235270.895736 290218.164005 3600.000000 2075.7539 NaN
235270.895736 290218.164005 4200.000000 2240.0854 NaN
235270.895736 290218.164005 4800.000000 2340.9387 NaN
235270.895736 290218.164005 5400.000000 2411.9378 NaN
235270.895736 290218.164005 6000.000000 2458.3185 NaN
235270.895736 290218.164005 6600.000000 2503.1669 NaN
235270.895736 290218.164005 7200.000000 2537.3735 NaN
235270.895736 290218.164005 7800.000000 2560.1342 NaN
235270.895736 290218.164005 8400.000000 2583.7744 NaN
235270.895736 290218.164005 9000.000000 2608.5563 NaN
235270.895736 290218.164005 9600.000000 2634.7589 NaN
235270.895736 290218.164005 10200.000000 2661.9012 NaN
235270.895736 290218.164005 10800.000000 2690.6077 NaN
235270.895736 290218.164005 11400.000000 2720.5283 NaN
235270.895736 290218.164005 12000.000000 2752.1247 NaN
235270.895736 290218.164005 12600.000000 2784.5107 NaN
235270.895736 290218.164005 13200.000000 2813.1825 NaN
235270.895736 290218.164005 13800.000000 2840.8799 NaN
235270.895736 290218.164005 14400.000000 2850.0607 NaN
235270.895736 290218.164005 15000.000000 2855.4610 NaN
235270.895736 290218.164005 15600.000000 2860.8942 NaN
235270.895736 290218.164005 16200.000000 2866.8827 NaN
235270.895736 290218.164005 16800.000000 2872.6478 NaN
235270.895736 290218.164005 17400.000000 2877.9202 NaN
235270.895736 290218.164005 18000.000000 2883.7543 NaN
235270.895736 290218.164005 18600.000000 2889.6244 NaN
235270.895736 290218.164005 19200.000000 2895.5306 NaN
235270.895736 290218.164005 19800.000000 2901.2019 NaN
235270.895736 290218.164005 20400.000000 2907.1783 NaN
235270.895736 290218.164005 21000.000000 2913.4648 NaN
235270.895736 290218.164005 21600.000000 2918.6876 NaN
235270.895736 290218.164005 22200.000000 2925.3229 NaN
235270.895736 290218.164005 22800.000000 2930.6061 NaN
235270.895736 290218.164005 23400.000000 2937.3175 NaN
235270.895736 290218.164005 24000.000000 2942.9428 NaN
235270.895736 290218.164005 24600.000000 2948.8809 NaN
235270.895736 290218.164005 25200.000000 2955.4216 NaN
235270.895736 290218.164005 25800.000000 2962.0010 NaN
235270.895736 290218.164005 26400.000000 2967.7536 NaN
235270.895736 290218.164005 27000.000000 2968.0420 NaN
235270.895736 290218.164005 27600.000000 2968.0420 NaN
235270.895736 290218.164005 28200.000000 2968.0420 NaN
235270.895736 290218.164005 28800.000000 2968.0420 NaN
235270.895736 290218.164005 29400.000000 2968.0420 NaN
235270.895736 290218.164005 30000.000000 2968.0420 NaN
235420.081747 287098.700428 550.000000 1628.6266 NaN
235420.081747 287098.700428 1150.000000 1628.6266 NaN
235420.081747 287098.700428 1750.000000 1628.6266 NaN
235420.081747 287098.700428 2350.000000 1629.2733 NaN
235420.081747 287098.700428 2950.000000 1805.6251 NaN
235420.081747 287098.700428 3550.000000 2058.6041 NaN
235420.081747 287098.700428 4150.000000 2242.5761 NaN
235420.081747 287098.700428 4750.000000 2341.0936 NaN
235420.081747 287098.700428 5350.000000 2410.6980 NaN
235420.081747 287098.700428 5950.000000 2456.1091 NaN
235420.081747 287098.700428 6550.000000 2498.9528 NaN
235420.081747 287098.700428 7150.000000 2533.3662 NaN
235420.081747 287098.700428 7750.000000 2556.5920 NaN
235420.081747 287098.700428 8350.000000 2580.9062 NaN
235420.081747 287098.700428 8950.000000 2606.2537 NaN
235420.081747 287098.700428 9550.000000 2633.0830 NaN
235420.081747 287098.700428 10150.000000 2661.1183 NaN
235420.081747 287098.700428 10750.000000 2690.8134 NaN
235420.081747 287098.700428 11350.000000 2721.6080 NaN
235420.081747 287098.700428 11950.000000 2754.3900 NaN
235420.081747 287098.700428 12550.000000 2788.0667 NaN
235420.081747 287098.700428 13150.000000 2818.1049 NaN
235420.081747 287098.700428 13750.000000 2846.4789 NaN
235420.081747 287098.700428 14350.000000 2854.6875 NaN
235420.081747 287098.700428 14950.000000 2859.8568 NaN
235420.081747 287098.700428 15550.000000 2865.3167 NaN
235420.081747 287098.700428 16150.000000 2871.0720 NaN
235420.081747 287098.700428 16750.000000 2876.8633 NaN
235420.081747 287098.700428 17350.000000 2882.1596 NaN
235420.081747 287098.700428 17950.000000 2887.7527 NaN
235420.081747 287098.700428 18550.000000 2893.6474 NaN
235420.081747 287098.700428 19150.000000 2899.3078 NaN
235420.081747 287098.700428 19750.000000 2904.7291 NaN
235420.081747 287098.700428 20350.000000 2910.4534 NaN
235420.081747 287098.700428 20950.000000 2916.2103 NaN
235420.081747 287098.700428 21550.000000 2922.0000 NaN
235420.081747 287098.700428 22150.000000 2927.8222 NaN
235420.081747 287098.700428 22750.000000 2933.6769 NaN
235420.081747 287098.700428 23350.000000 2939.5641 NaN
235420.081747 287098.700428 23950.000000 2946.0492 NaN
235420.081747 287098.700428 24550.000000 2952.0042 NaN
235420.081747 287098.700428 25150.000000 2957.7057 NaN
235420.081747 287098.700428 25750.000000 2963.7237 NaN
235420.081747 287098.700428 26350.000000 2968.0420 NaN
235420.081747 287098.700428 26950.000000 2968.0420 NaN
235420.081747 287098.700428 27550.000000 2968.0420 NaN
235420.081747 287098.700428 28150.000000 2968.0420 NaN
235420.081747 287098.700428 28750.000000 2968.0420 NaN
235420.081747 287098.700428 29350.000000 2968.0420 NaN
235420.081747 287098.700428 29950.000000 2968.0420 NaN
235570.067970 283979.369742 500.000000 1629.2733 NaN
235570.067970 283979.369742 1100.000000 1629.2733 NaN
235570.067970 283979.369742 1700.000000 1629.2733 NaN
235570.067970 283979.369742 2300.000000 1629.2733 NaN
235570.067970 283979.369742 2900.000000 1777.4595 NaN
235570.067970 283979.369742 3500.000000 2042.5289 NaN
235570.067970 283979.369742 4100.000000 2255.5483 NaN
235570.067970 283979.369742 4700.000000 2349.9742 NaN
235570.067970 283979.369742 5300.000000 2406.9721 NaN
235570.067970 283979.369742 5900.000000 2454.5921 NaN
235570.067970 283979.369742 6500.000000 2500.5480 NaN
235570.067970 283979.369742 7100.000000 2535.8287 NaN
235570.067970 283979.369742 7700.000000 2559.3270 NaN
235570.067970 283979.369742 8300.000000 2583.6052 NaN
235570.067970 283979.369742 8900.000000 2609.2668 NaN
235570.067970 283979.369742 9500.000000 2636.2530 NaN
235570.067970 283979.369742 10100.000000 2664.4531 NaN
235570.067970 283979.369742 10700.000000 2694.3214 NaN
235570.067970 283979.369742 11300.000000 2725.9451 NaN
235570.067970 283979.369742 11900.000000 2758.4862 NaN
235570.067970 283979.369742 12500.000000 2793.0732 NaN
235570.067970 283979.369742 13100.000000 2827.7898 NaN
