x y g
330616.236803 424183.852603 25.049272
326941.058508 424070.115759 20.953027
323265.950597 423956.355348 10.450949
319590.911822 423842.571612 -0.214518
315915.941222 423728.764911 -10.990535
312241.037556 423614.935501 -19.273704
308566.199656 423501.083673 -20.989790
304891.426584 423387.209782 -21.548688
301216.717041 423273.314056 -20.012767
297542.070015 423159.396857 -14.588761
293867.484299 423045.458432 -16.718004
290192.958818 422931.499112 -12.734043
286518.492448 422817.519172 -7.897164
282844.084050 422703.518932 1.543131
279169.732505 422589.498678 18.417571
275495.436700 422475.458698 27.747005
271821.195511 422361.399319 35.758880
268147.007765 422247.320798 40.211691
264472.872431 422133.223470 41.408756
260798.788338 422019.107615 53.153644
257124.754388 421904.973558 67.566269
253450.769357 421790.821539 78.968710
249776.832233 421676.651899 83.834833
246102.941867 421562.464916 84.545434
242429.097186 421448.260920 74.577895
238755.296908 421334.040146 56.570385
235081.540110 421219.802974 45.779043
231407.825523 421105.549641 35.671745
227734.152026 420991.280432 34.551405
224060.518642 420876.995712 45.375873
220386.924117 420762.695710 59.395721
216713.367336 420648.380757 71.549476
213039.847274 420534.051159 72.379443
209366.362686 420419.707180 65.317280
205692.912481 420305.349127 56.168737
202019.495570 420190.977306 53.752945
198346.110873 420076.592025 57.283938
194672.757165 419962.193558 54.670261
190999.433449 419847.782229 44.618339
187326.138440 419733.358291 19.486303
183652.871148 419618.922083 -10.179383
179979.630444 419504.473898 -28.742064
176306.415136 419390.013997 -40.898968
172633.224103 419275.542688 -52.710306
168960.056300 419161.060300 -66.665186
165286.910551 419046.567102 -79.540338
161613.785753 418932.063394 -83.621603
157940.680735 418817.549456 -82.425768
154267.594475 418703.025627 -84.398201
150594.525816 418588.492180 -91.977005
146921.473524 418473.949394 -96.279143
143248.436603 418359.397576 -94.549522
139575.413902 418244.837041 -83.032006
135902.404359 418130.268085 -63.179667
132229.406688 418015.690969 -37.204074
128556.419912 417901.106016 -13.889175
124883.442831 417786.513506 -0.211457
121210.474395 417671.913768 12.856158
117537.513427 417557.307059 27.724957
113864.558812 417442.693687 36.963974
110191.609449 417328.073953 33.569795
106518.664160 417213.448157 14.725870
102845.721934 417098.816598 -1.842769
99172.781532 416984.179554 -8.294224
95499.841875 416869.537325 -2.982580
91826.901880 416754.890228 6.710594
88153.960408 416640.238543 12.279670
84481.016315 416525.582570 13.513424
80808.068467 416410.922587 11.981753
77135.115737 416296.258891 7.773574
73462.157065 416181.591816 0.852135
69789.191338 416066.921651 -5.978416
66116.217294 415952.248635 -11.790288
62443.233971 415837.573126 -16.588877
58770.240118 415722.895377 -23.592726
55097.234780 415608.215739 -29.076427
51424.216650 415493.534434 -30.118965
47751.184704 415378.851813 -33.701842
44078.137787 415264.168160 -36.117256
40405.074831 415149.483755 -34.827384
36731.994675 415034.798924 -31.752630
33058.896189 414920.113927 -25.023047
29385.778232 414805.429066 -20.603647
25712.639668 414690.744650 -19.233957
22039.479529 414576.060995 -18.839815
18366.296539 414461.378366 -18.212416
14693.089587 414346.697052 -14.483234
11019.857559 414232.017361 -8.315666
7346.599423 414117.339618 -1.133963
3673.313933 414002.664079 5.727990
0.000000 413887.991027 12.140479
330724.912557 420487.869703 14.319254
327049.746121 420374.145468 12.152744
323374.649629 420260.397721 6.730862
319699.622044 420146.626775 1.597717
316024.662181 420032.832926 -6.430085
312349.769019 419919.016480 -14.771675
308674.941314 419805.177705 -17.228747
305000.178045 419691.316939 -22.323509
301325.477981 419577.434442 -21.034257
297650.840039 419463.530532 -15.770963
293976.263152 419349.605501 -12.542834
290301.746167 419235.659667 -10.966694
286627.287874 419121.693296 -10.397779
282952.887290 419007.706718 -4.413515
279278.543214 418893.700213 13.615987
275604.254522 418779.674076 28.950951
271930.020098 418665.628604 41.474899
268255.838905 418551.564121 38.546420
264581.709611 418437.480874 34.427937
260907.631342 418323.379218 43.783112
257233.602774 418209.259404 57.937003
253559.622893 418095.121763 67.916284
249885.690615 417980.966591 74.568719
246211.804708 417866.794170 78.459174
242537.964032 417752.604767 69.879960
238864.167586 417638.398728 55.029096
235190.414231 417524.176353 42.728937
231516.702760 417409.937911 35.105497
227843.032123 417295.683708 39.633269
224169.401122 417181.414027 55.178203
220495.808711 417067.129198 73.259915
216822.253710 416952.829487 82.014727
213148.735007 416838.515202 78.892472
209475.251583 416724.186653 68.940585
205801.802181 416609.844132 59.351209
202128.385726 416495.487908 55.044436
198455.001122 416381.118316 53.415343
194781.647220 416266.735633 51.334034
191108.322871 416152.340144 47.305591
187435.027003 416037.932173 29.238155
183761.758485 415923.511989 1.380838
180088.516175 415809.079915 -18.002092
176415.299026 415694.636248 -30.468926
172742.105763 415580.181255 -44.227625
169068.935352 415465.715229 -60.464155
165395.786742 415351.238530 -74.495448
161722.658692 415236.751383 -78.355702
158049.550169 415122.254122 -77.590696
154376.460004 415007.747029 -80.880822
150703.387032 414893.230395 -89.288293
147030.330243 414778.704541 -98.255943
143357.288410 414664.169728 -102.807223
139684.260529 414549.626301 -96.177786
136011.245312 414435.074501 -79.235607
132338.241841 414320.514679 -52.604362
128665.248764 414205.947066 -27.560644
124992.265171 414091.372027 -6.978050
121319.289798 413976.789800 12.052826
117646.321595 413862.200724 30.128516
113973.359457 413747.605081 43.626897
110300.402201 413633.003155 45.347625
106627.448649 413518.395235 27.319512
102954.497862 413403.781643 5.911495
99281.548585 413289.162685 -5.682733
95608.599750 413174.538621 -2.105064
91935.650120 413059.909740 8.077229
88262.698770 412945.276391 15.904835
84589.744407 412830.638825 19.673976
80916.786045 412715.997360 19.101061
77243.822396 412601.352268 15.624064
73570.852562 412486.703887 11.178973
69897.875189 412372.052468 3.413718
66224.889319 412257.398328 -3.535830
