x y z
-500000.000000 -500000.000000 60.562355
-500000.000000 -500000.000000 239.204186
-500000.000000 -500000.000000 536.880259
-500000.000000 -500000.000000 953.590572
-500000.000000 -500000.000000 1489.335126
-500000.000000 -500000.000000 2144.113921
-500000.000000 -500000.000000 2917.926957
-500000.000000 -500000.000000 3810.774234
-500000.000000 -500000.000000 4822.655752
-500000.000000 -500000.000000 5953.571511
-500000.000000 -500000.000000 7203.521511
-500000.000000 -500000.000000 8572.505752
-500000.000000 -500000.000000 10060.524234
-500000.000000 -500000.000000 11667.576957
-500000.000000 -500000.000000 13393.663921
-500000.000000 -500000.000000 15238.785126
-500000.000000 -500000.000000 17202.940572
-500000.000000 -500000.000000 19286.130259
-500000.000000 -500000.000000 21488.354186
-500000.000000 -500000.000000 23809.612355
-500000.000000 11782.884795 60.562355
-500000.000000 11782.884795 239.204186
-500000.000000 11782.884795 536.880259
-500000.000000 11782.884795 953.590572
-500000.000000 11782.884795 1489.335126
-500000.000000 11782.884795 2144.113921
-500000.000000 11782.884795 2917.926957
-500000.000000 11782.884795 3810.774234
-500000.000000 11782.884795 4822.655752
-500000.000000 11782.884795 5953.571511
-500000.000000 11782.884795 7203.521511
-500000.000000 11782.884795 8572.505752
-500000.000000 11782.884795 10060.524234
-500000.000000 11782.884795 11667.576957
-500000.000000 11782.884795 13393.663921
-500000.000000 11782.884795 15238.785126
-500000.000000 11782.884795 17202.940572
-500000.000000 11782.884795 19286.130259
-500000.000000 11782.884795 21488.354186
-500000.000000 11782.884795 23809.612355
-500000.000000 35348.654384 60.562355
-500000.000000 35348.654384 239.204186
-500000.000000 35348.654384 536.880259
-500000.000000 35348.654384 953.590572
-500000.000000 35348.654384 1489.335126
-500000.000000 35348.654384 2144.113921
-500000.000000 35348.654384 2917.926957
-500000.000000 35348.654384 3810.774234
-500000.000000 35348.654384 4822.655752
-500000.000000 35348.654384 5953.571511
-500000.000000 35348.654384 7203.521511
-500000.000000 35348.654384 8572.505752
-500000.000000 35348.654384 10060.524234
-500000.000000 35348.654384 11667.576957
-500000.000000 35348.654384 13393.663921
-500000.000000 35348.654384 15238.785126
-500000.000000 35348.654384 17202.940572
-500000.000000 35348.654384 19286.130259
-500000.000000 35348.654384 21488.354186
-500000.000000 35348.654384 23809.612355
-500000.000000 58914.423973 60.562355
-500000.000000 58914.423973 239.204186
-500000.000000 58914.423973 536.880259
-500000.000000 58914.423973 953.590572
-500000.000000 58914.423973 1489.335126
-500000.000000 58914.423973 2144.113921
-500000.000000 58914.423973 2917.926957
-500000.000000 58914.423973 3810.774234
-500000.000000 58914.423973 4822.655752
-500000.000000 58914.423973 5953.571511
-500000.000000 58914.423973 7203.521511
-500000.000000 58914.423973 8572.505752
-500000.000000 58914.423973 10060.524234
-500000.000000 58914.423973 11667.576957
-500000.000000 58914.423973 13393.663921
-500000.000000 58914.423973 15238.785126
-500000.000000 58914.423973 17202.940572
-500000.000000 58914.423973 19286.130259
-500000.000000 58914.423973 21488.354186
-500000.000000 58914.423973 23809.612355
-500000.000000 82480.193562 60.562355
-500000.000000 82480.193562 239.204186
-500000.000000 82480.193562 536.880259
-500000.000000 82480.193562 953.590572
-500000.000000 82480.193562 1489.335126
-500000.000000 82480.193562 2144.113921
-500000.000000 82480.193562 2917.926957
-500000.000000 82480.193562 3810.774234
-500000.000000 82480.193562 4822.655752
-500000.000000 82480.193562 5953.571511
-500000.000000 82480.193562 7203.521511
-500000.000000 82480.193562 8572.505752
-500000.000000 82480.193562 10060.524234
-500000.000000 82480.193562 11667.576957
-500000.000000 82480.193562 13393.663921
-500000.000000 82480.193562 15238.785126
-500000.000000 82480.193562 17202.940572
-500000.000000 82480.193562 19286.130259
-500000.000000 82480.193562 21488.354186
-500000.000000 82480.193562 23809.612355
-500000.000000 106045.963151 60.562355
-500000.000000 106045.963151 239.204186
