X,Y,Z
705002.9380979999,4836962.73541,25.049272133899997
701475.019587,4837998.9123,20.9530270891
697947.160624,4839035.04488,10.4509489395
694419.3600979999,4840071.133769999,-0.214517683209
690891.617209,4841107.17961,-10.9905352232
687363.930856,4842143.18303,-19.2737041758
683836.300021,4843179.144669999,-20.989789991
680308.723922,4844215.06516,-21.5486877452
676781.201396,4845250.945119999,-20.01276667
673253.731595,4846286.785209999,-14.5887609286
669726.313447,4847322.58604,-16.7180037004
666198.946035,4848358.348259999,-12.7340425777
662671.628375,4849394.072480001,-7.897163741389999
659144.3594859999,4850429.75936,1.54313066754
655617.138393,4851465.409519999,18.4175708003
652089.9641270001,4852501.023580001,27.747004547
648562.835723,4853536.6022,35.7588801577
645035.752146,4854572.14599,40.2116908603
641508.71252,4855607.655590001,41.4087562446
637981.7158199999,4856643.131630001,53.1536435888
634454.761104,4857678.57476,67.5662690283
630927.847282,4858713.98559,78.968710237
627400.9735,4859749.36476,83.8348330721
623874.138753,4860784.71289,84.5454342632
620347.342123,4861820.03063,74.5778952411
616820.582464,4862855.3186,56.570385091000006
613293.85902,4863890.57745,45.77904294060001
609767.170656,4864925.8078,35.6717454908
606240.516397,4865961.0102699995,34.5514050535
602713.895428,4866996.18551,45.3758733152
599187.306629,4868031.33413,59.3957208771
595660.749042,4869066.45679,71.5494760774
592134.22179,4870101.5541,72.3794432785
588607.723771,4871136.6267,65.3172803038
585081.254044,4872171.67522,56.1687368672
581554.81167,4873206.70029,53.752944815
578028.395718,4874241.70254,57.2839380104
574502.005109,4875276.68261,54.670260805299996
570975.6389970001,4876311.64112,44.6183392406
567449.296239,4877346.57871,19.4863032031
563922.976,4878381.49601,-10.1793831363
560396.677299,4879416.39365,-28.742064355300002
556870.399084,4880451.27225,-40.8989678534
553344.140384,4881486.13245,-52.7103064685
549817.900312,4882520.97489,-66.6651856662
546291.6778310001,4883555.80019,-79.5403384656
542765.471988,4884590.60898,-83.6216025943
539239.281756,4885625.40189,-82.4257684946
535713.106271,4886660.17956,-84.3982006872
532186.944517,4887694.94261,-91.97700498549999
528660.795409,4888729.69169,-96.279143315
525134.658096,4889764.4274,-94.54952158200001
521608.53158199997,4890799.1504,-83.0320056302
518082.41495,4891833.8613,-63.179667291
514556.307059,4892868.56075,-37.2040740488
511030.207082,4893903.24936,-13.889174584300001
507504.11396499997,4894937.92777,-0.211457246255
503978.02681400004,4895972.59662,12.8561583353
500451.944588,4897007.256519999,27.7249573744
496925.866325,4898041.90811,36.9639742911
493399.79107299994,4899076.552019999,33.569795310100005
489873.717804,4900111.1889,14.7258703688
486347.64565200004,4901145.81935,-1.84276858648
482821.573526,4902180.444019999,-8.29422428671
479295.500492,4903215.06353,-2.9825796969
475769.42562299996,4904249.67852,6.710593884060001
472243.347921,4905284.289609999,12.279670169000001
468717.266393,4906318.89744,13.5134243602
465191.18004899996,4907353.50263,11.981753328
461665.087909,4908388.10581,7.773574296989999
458138.989071,4909422.70763,0.8521349514
454612.882566,4910457.30871,-5.97841600351
451086.76726999995,4911491.90967,-11.790288407
447560.64238000003,4912526.51115,-16.5888769711
444034.50678500003,4913561.11378,-23.592725936599997
440508.35968900006,4914595.71819,-29.0764270149
436982.199917,4915630.325,-30.118964868200003
433456.026607,4916664.934859999,-33.701842431100005
429929.838748,4917699.5484,-36.1172557456
426403.635413,4918734.16622,-34.8273836205
422877.4156,4919768.78899,-31.7526295433
419351.178317,4920803.4173099995,-25.0230465351
415824.922573,4921838.05182,-20.6036470554
412298.647385,4922872.69317,-19.2339571245
408772.351931,4923907.34196,-18.8398149731
405246.035081,4924941.9988400005,-18.212415596099998
401719.69587,4925976.66443,-14.4832338883
398193.333334,4927011.339369999,-8.315665995529999
394666.946595,4928046.02429,-1.1339631869700002
391140.53454699996,4929080.719819999,5.72798953681
387614.09624499996,4930115.42657,12.140478894100001
703955.474196,4833416.62213,14.319254279
700427.570881,4834452.80731,12.1527439118
696899.726712,4835488.948369999,6.730861642380001
693371.940802,4836525.04593,1.59771736484
689844.212117,4837561.10064,-6.43008523324
686316.539783,4838597.11311,-14.771674920599999
682788.9227,4839633.083980001,-17.2287471769
679261.360003,4840669.01389,-22.323508754499997
675733.850604,4841704.903469999,-21.034257312
672206.393572,4842740.7533599995,-15.770962613
668678.987985,4843776.56417,-12.5428337595
665151.632845,4844812.33656,-10.966693803399998
661624.327086,4845848.07116,-10.3977790744
658097.069876,4846883.76859,-4.4135148518800005
654569.8601609999,4847919.42949,13.6159872229
651042.696965,4848955.05449,28.9509508522
647515.57932,4849990.64422,41.4748990932
643988.506341,4851026.19931,38.5464204669
640461.476839,4852061.72041,34.4279366647
636934.490094,4853097.20813,43.7831122754
633407.5449270001,4854132.66312,57.93700330229999
629880.640476,4855168.08601,67.91628408470001
626353.775804,4856203.477419999,74.56871860380001
622826.9498279999,4857238.838,78.4591742035
619300.161547,4858274.16836,69.8799602585
615773.410118,4859309.46914,55.0290957036
