NaN	NaN	z	density	stdev
572686.664282	4739341.30606	0	1.62927333808313	NaN
572686.664282	4739341.30606	600	1.62927333808313	NaN
572686.664282	4739341.30606	1200	1.62927333808313	NaN
572686.664282	4739341.30606	1800	1.62927333808313	NaN
572686.664282	4739341.30606	2400	1.63056545913013	NaN
572686.664282	4739341.30606	3000	1.83022163942515	NaN
572686.664282	4739341.30606	3600	2.07575392553917	NaN
572686.664282	4739341.30606	4200	2.24008538053631	NaN
572686.664282	4739341.30606	4800	2.34093873273687	NaN
572686.664282	4739341.30606	5400	2.41193778069557	NaN
572686.664282	4739341.30606	6000	2.45831847644703	NaN
572686.664282	4739341.30606	6600	2.50316685119524	NaN
572686.664282	4739341.30606	7200	2.53737351630114	NaN
572686.664282	4739341.30606	7800	2.56013423967012	NaN
572686.664282	4739341.30606	8400	2.58377441135932	NaN
572686.664282	4739341.30606	9000	2.60855627589635	NaN
572686.664282	4739341.30606	9600	2.63475888166927	NaN
572686.664282	4739341.30606	10200	2.66190121735391	NaN
572686.664282	4739341.30606	10800	2.6906076678151	NaN
572686.664282	4739341.30606	11400	2.72052827053655	NaN
572686.664282	4739341.30606	12000	2.75212466295945	NaN
572686.664282	4739341.30606	12600	2.78451067825163	NaN
572686.664282	4739341.30606	13200	2.81318245961186	NaN
572686.664282	4739341.30606	13800	2.84087985992316	NaN
572686.664282	4739341.30606	14400	2.85006071517626	NaN
572686.664282	4739341.30606	15000	2.85546097967056	NaN
572686.664282	4739341.30606	15600	2.86089421824568	NaN
572686.664282	4739341.30606	16200	2.86688272633081	NaN
572686.664282	4739341.30606	16800	2.87264784017025	NaN
572686.664282	4739341.30606	17400	2.87792020530455	NaN
572686.664282	4739341.30606	18000	2.88375426831191	NaN
572686.664282	4739341.30606	18600	2.88962440192621	NaN
572686.664282	4739341.30606	19200	2.89553056925902	NaN
572686.664282	4739341.30606	19800	2.90120185087275	NaN
572686.664282	4739341.30606	20400	2.90717832547103	NaN
572686.664282	4739341.30606	21000	2.91346484271757	NaN
572686.664282	4739341.30606	21600	2.91868760549666	NaN
572686.664282	4739341.30606	22200	2.92532293773957	NaN
572686.664282	4739341.30606	22800	2.93060606970706	NaN
572686.664282	4739341.30606	23400	2.93731752770199	NaN
572686.664282	4739341.30606	24000	2.9429427775805	NaN
572686.664282	4739341.30606	24600	2.94888089682541	NaN
572686.664282	4739341.30606	25200	2.95542162530138	NaN
572686.664282	4739341.30606	25800	2.96200102605979	NaN
572686.664282	4739341.30606	26400	2.96775360638136	NaN
572686.664282	4739341.30606	27000	2.968042	NaN
572686.664282	4739341.30606	27600	2.968042	NaN
572686.664282	4739341.30606	28200	2.968042	NaN
572686.664282	4739341.30606	28800	2.968042	NaN
572686.664282	4739341.30606	29400	2.968042	NaN
572686.664282	4739341.30606	30000	2.968042	NaN
571857.195426	4736330.44391	550	1.62862660027994	NaN
571857.195426	4736330.44391	1150	1.62862660027994	NaN
571857.195426	4736330.44391	1750	1.62862660027994	NaN
571857.195426	4736330.44391	2350	1.62927333808313	NaN
571857.195426	4736330.44391	2950	1.80562508343671	NaN
571857.195426	4736330.44391	3550	2.05860413139281	NaN
571857.195426	4736330.44391	4150	2.24257607778083	NaN
571857.195426	4736330.44391	4750	2.34109355069207	NaN
571857.195426	4736330.44391	5350	2.4106979631958	NaN
571857.195426	4736330.44391	5950	2.45610912660556	NaN
571857.195426	4736330.44391	6550	2.49895281889219	NaN
571857.195426	4736330.44391	7150	2.53336621834877	NaN
571857.195426	4736330.44391	7750	2.5565919801579	NaN
571857.195426	4736330.44391	8350	2.58090620608942	NaN
571857.195426	4736330.44391	8950	2.606253663288	NaN
571857.195426	4736330.44391	9550	2.63308296674904	NaN
571857.195426	4736330.44391	10150	2.66111831934121	NaN
571857.195426	4736330.44391	10750	2.69081339321672	NaN
571857.195426	4736330.44391	11350	2.72160803469128	NaN
571857.195426	4736330.44391	11950	2.75439002055263	NaN
571857.195426	4736330.44391	12550	2.78806668465055	NaN
571857.195426	4736330.44391	13150	2.81810494447678	NaN
571857.195426	4736330.44391	13750	2.84647886270001	NaN
571857.195426	4736330.44391	14350	2.85468749422692	NaN
571857.195426	4736330.44391	14950	2.8598567740127	NaN
571857.195426	4736330.44391	15550	2.8653166962378	NaN
571857.195426	4736330.44391	16150	2.87107195222283	NaN
571857.195426	4736330.44391	16750	2.87686334455093	NaN
571857.195426	4736330.44391	17350	2.8821595815171	NaN
571857.195426	4736330.44391	17950	2.8877527216816	NaN
571857.195426	4736330.44391	18550	2.89364742799578	NaN
571857.195426	4736330.44391	19150	2.8993077821279	NaN
571857.195426	4736330.44391	19750	2.90472906193687	NaN
571857.195426	4736330.44391	20350	2.91045335569327	NaN
571857.195426	4736330.44391	20950	2.91621033477444	NaN
571857.195426	4736330.44391	21550	2.92199995135124	NaN
571857.195426	4736330.44391	22150	2.92782215438547	NaN
571857.195426	4736330.44391	22750	2.93367688968186	NaN
571857.195426	4736330.44391	23350	2.93956409994	NaN
571857.195426	4736330.44391	23950	2.94604918687766	NaN
571857.195426	4736330.44391	24550	2.95200424065703	NaN
571857.195426	4736330.44391	25150	2.95770573093478	NaN
571857.195426	4736330.44391	25750	2.96372374006005	NaN
571857.195426	4736330.44391	26350	2.968042	NaN
571857.195426	4736330.44391	26950	2.968042	NaN
571857.195426	4736330.44391	27550	2.968042	NaN
571857.195426	4736330.44391	28150	2.968042	NaN
571857.195426	4736330.44391	28750	2.968042	NaN
571857.195426	4736330.44391	29350	2.968042	NaN
571857.195426	4736330.44391	29950	2.968042	NaN
571028.528383	4733319.4589	500	1.62927333808313	NaN
571028.528383	4733319.4589	1100	1.62927333808313	NaN
571028.528383	4733319.4589	1700	1.62927333808313	NaN
571028.528383	4733319.4589	2300	1.62927333808313	NaN
571028.528383	4733319.4589	2900	1.77745954030835	NaN
571028.528383	4733319.4589	3500	2.04252892762244	NaN
571028.528383	4733319.4589	4100	2.25554825256887	NaN
571028.528383	4733319.4589	4700	2.34997419357115	NaN
571028.528383	4733319.4589	5300	2.40697209903182	NaN
571028.528383	4733319.4589	5900	2.45459211528383	NaN
571028.528383	4733319.4589	6500	2.50054803523219	NaN
571028.528383	4733319.4589	7100	2.53582872570284	NaN
571028.528383	4733319.4589	7700	2.55932704375742	NaN
571028.528383	4733319.4589	8300	2.58360524791177	NaN
571028.528383	4733319.4589	8900	2.60926682325062	NaN
571028.528383	4733319.4589	9500	2.63625295371294	NaN
571028.528383	4733319.4589	10100	2.66445309255004	NaN
571028.528383	4733319.4589	10700	2.6943214466511	NaN
571028.528383	4733319.4589	11300	2.72594510511095	NaN
571028.528383	4733319.4589	11900	2.7584861791287	NaN
571028.528383	4733319.4589	12500	2.7930732012827	NaN
571028.528383	4733319.4589	13100	2.8277897854236	NaN
571028.528383	4733319.4589	13700	2.8601160229531	NaN
571028.528383	4733319.4589	14300	2.86897494948414	NaN
571028.528383	4733319.4589	14900	2.87396313296683	NaN
571028.528383	4733319.4589	15500	2.87977258339043	NaN
571028.528383	4733319.4589	16100	2.88535163806866	NaN
571028.528383	4733319.4589	16700	2.89069557148594	NaN
571028.528383	4733319.4589	17300	2.89579988693454	NaN
571028.528383	4733319.4589	17900	2.9014727292646	NaN
571028.528383	4733319.4589	18500	2.90663352533412	NaN
571028.528383	4733319.4589	19100	2.91236871931291	NaN
571028.528383	4733319.4589	19700	2.91813658303318	NaN
571028.528383	4733319.4589	20300	2.92310643168548	NaN
571028.528383	4733319.4589	20900	2.92949161872823	NaN
571028.528383	4733319.4589	21500	2.93451593283061	NaN
571028.528383	4733319.4589	22100	2.94068915034522	NaN
571028.528383	4733319.4589	22700	2.9457664191658	NaN
571028.528383	4733319.4589	23300	2.95171993419067	NaN
571028.528383	4733319.4589	23900	2.95770573093478	NaN
571028.528383	4733319.4589	24500	2.96343643881179	NaN
571028.528383	4733319.4589	25100	2.968042	NaN
571028.528383	4733319.4589	25700	2.968042	NaN
571028.528383	4733319.4589	26300	2.968042	NaN
571028.528383	4733319.4589	26900	2.968042	NaN
571028.528383	4733319.4589	27500	2.968042	NaN
571028.528383	4733319.4589	28100	2.968042	NaN
571028.528383	4733319.4589	28700	2.968042	NaN
571028.528383	4733319.4589	29300	2.968042	NaN
571028.528383	4733319.4589	29900	2.968042	NaN
570199.91167	4730308.36008	450	1.62991962427892	NaN
570199.91167	4730308.36008	1050	1.62991962427892	NaN
570199.91167	4730308.36008	1650	1.62991962427892	NaN
570199.91167	4730308.36008	2250	1.62991962427892	NaN
570199.91167	4730308.36008	2850	1.74820267631018	NaN
570199.91167	4730308.36008	3450	2.04565036753945	NaN
570199.91167	4730308.36008	4050	2.27106797227804	NaN
570199.91167	4730308.36008	4650	2.36134169772933	NaN
570199.91167	4730308.36008	5250	2.41757454435881	NaN
570199.91167	4730308.36008	5850	2.47137925216897	NaN
