X,Y,Z,formation,formationID
484744.84905,4764413.48255,5675.77497,seds1_PA,4
485702.41706,4764100.26518,5544.77738,seds1_PA,4
486659.88278,4763786.89245,5299.32997,seds1_PA,4
487617.24619,4763473.36434,5209.7601,seds1_PA,4
488574.50729,4763159.68086,5167.81257,seds1_PA,4
489531.66606,4762845.84201,5124.46234,seds1_PA,4
490489.47862,4762531.84903,5103.86101,seds1_PA,4
491446.43106,4762218.81067,5109.90179,seds1_PA,4
492403.28293,4761904.50563,5080.19244,seds1_PA,4
493360.78719,4761591.15742,5038.535,seds1_PA,4
494317.43338,4761277.65289,5039.9555,seds1_PA,4
495274.73346,4760963.99362,4940.94413,seds1_PA,4
496231.93072,4760651.2901,4600.85058,seds1_PA,4
497189.02674,4760337.31967,4318.36411,seds1_PA,4
498828.55316,4759799.9926,3790.75781,seds1_PA,4
499785.37213,4759486.71138,3673.15289,seds1_PA,4
500742.08928,4759173.27461,3645.75432,seds1_PA,4
501699.46027,4758859.68206,3577.16229,seds1_PA,4
502655.97374,4758545.93404,3524.71812,seds1_PA,4
503612.38604,4758233.1418,3524.53216,seds1_PA,4
504569.45152,4757919.08209,3398.66461,seds1_PA,4
505525.66061,4757605.97863,2666.67188,seds1_PA,4
506619.96444,4757247.00126,2326.94006,seds1_PA,4
507575.95575,4756933.56424,2217.13173,seds1_PA,4
508532.6025,4756621.08192,2008.38751,seds1_PA,4
509489.14619,4756307.3325,1986.45034,seds1_PA,4
510445.59022,4755994.53863,2077.24508,seds1_PA,4
511401.9308,4755680.47767,2207.10321,seds1_PA,4
512358.17206,4755367.37227,1979.76323,seds1_PA,4
513314.31201,4755054.11111,2053.39711,seds1_PA,4
514270.35064,4754740.69419,2245.55389,seds1_PA,4
522516.6295,4752038.77034,3018.94392,seds1_PA,4
523472.45701,4751726.07336,3327.82261,seds1_PA,4
524428.18373,4751413.22042,3507.32262,seds1_PA,4
525383.80965,4751100.21151,3616.64931,seds1_PA,4
526339.33476,4750787.04665,3520.82563,seds1_PA,4
527294.75904,4750473.72584,3527.59714,seds1_PA,4
528250.08783,4750161.36041,3628.25522,seds1_PA,4
529206.06511,4749847.72395,3704.452,seds1_PA,4
530161.1927,4749535.04652,3816.58842,seds1_PA,4
531116.21979,4749222.21315,4011.23109,seds1_PA,4
532071.90074,4748909.21972,3892.05596,seds1_PA,4
533026.72674,4748596.07436,3784.13705,seds1_PA,4
537444.15075,4747149.20494,3362.45448,seds1_PA,4
539279.59693,4746547.05451,3343.33263,seds1_PA,4
540234.43378,4746234.9493,3300.71457,seds1_PA,4
541189.16286,4745921.5766,3055.22762,seds1_PA,4
542143.79957,4745609.1591,2887.71593,seds1_PA,4
543099.08204,4745295.46858,2778.89238,seds1_PA,4
544053.51852,4744982.73868,2748.16174,seds1_PA,4
545007.85498,4744669.85265,2668.4137,seds1_PA,4
546668.88379,4744126.72015,2510.3768,seds1_PA,4
555405.95928,4741264.25239,2523.03206,seds1_PA,4
556359.87105,4740950.61238,2613.07645,seds1_PA,4
557314.44715,4740637.92001,2723.11756,seds1_PA,4
558268.18141,4740326.18991,2874.14002,seds1_PA,4
559221.80525,4740013.19213,2926.2262,seds1_PA,4
560176.09419,4739701.14163,2836.66937,seds1_PA,4
561129.51906,4739387.83109,2778.53584,seds1_PA,4
562083.60929,4739075.46758,2992.04252,seds1_PA,4
563037.60022,4738762.94751,3068.52996,seds1_PA,4
563991.49184,4738450.27089,3185.43585,seds1_PA,4
564944.54344,4738138.55742,3261.21386,seds1_PA,4
565898.23663,4737825.56781,3373.8558,seds1_PA,4
566851.84317,4737513.533,3417.16849,seds1_PA,4
567805.35072,4737201.34166,3427.90546,seds1_PA,4
568758.74621,4736887.88241,3387.36699,seds1_PA,4
569712.82164,4736576.48036,3318.99677,seds1_PA,4
570666.03211,4736263.81927,3224.7468,seds1_PA,4
571619.14354,4735951.00166,3137.95336,seds1_PA,4
572572.16972,4735639.13886,3101.50472,seds1_PA,4
573525.8359,4735325.99872,3076.77629,seds1_PA,4
574478.66446,4735013.82276,3072.86577,seds1_PA,4
575432.14689,4734701.48056,3086.53532,seds1_PA,4
576385.54504,4734390.09295,3004.45151,seds1_PA,4
577338.07752,4734077.44719,2911.82531,seds1_PA,4
578291.26372,4733764.63484,2899.18884,seds1_PA,4
579244.36615,4733452.77709,2927.15006,seds1_PA,4
580197.37009,4733140.76259,2971.34897,seds1_PA,4
581150.27553,4732828.59135,3030.74291,seds1_PA,4
582103.08246,4732516.26336,3135.36869,seds1_PA,4
583055.79087,4732203.77863,3204.36176,seds1_PA,4
584008.40075,4731891.13717,3327.24498,seds1_PA,4
584960.92825,4731579.45032,3398.26685,seds1_PA,4
585913.35755,4731267.60675,3459.32795,seds1_PA,4
586866.44079,4730955.59525,3463.19274,seds1_PA,4
587818.67364,4730643.4381,3463.16788,seds1_PA,4
588771.56031,4730331.11279,3498.08302,seds1_PA,4
589723.59666,4730018.64208,3535.7454,seds1_PA,4
590676.28673,4729706.00296,3562.7706,seds1_PA,4
591628.14397,4729394.33005,3578.27427,seds1_PA,4
592580.65521,4729082.4885,3552.92281,seds1_PA,4
593533.06845,4728770.49,3410.70482,seds1_PA,4
